Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000399999990 CH2:0.0000399999990,,Second,Volt,Volt
,,,-0.29712000489,2.00000,0.00
,,,-0.29707998037,2.00000,0.00
,,,-0.29703998566,2.00000,0.00
,,,-0.29699999094,2.00000,0.00
,,,-0.29695999622,2.00000,0.00
,,,-0.29692000151,1.92000,0.00
,,,-0.29688000679,2.00000,0.00
,,,-0.29683998227,2.00000,0.00
,,,-0.29679998755,2.00000,0.00
,,,-0.29675999284,2.00000,0.00
,,,-0.29671999812,2.00000,0.00
,,,-0.29668000340,2.00000,0.00
,,,-0.29663997889,2.00000,0.00
,,,-0.29659998417,2.00000,0.00
,,,-0.29655998945,2.00000,0.00
,,,-0.29651999474,2.00000,0.00
,,,-0.29648000002,1.92000,0.00
,,,-0.29644000530,2.00000,0.00
,,,-0.29639998078,2.00000,0.00
,,,-0.29635998607,2.00000,0.00
,,,-0.29631999135,2.00000,0.00
,,,-0.29627999663,2.00000,0.00
,,,-0.29624000192,1.92000,0.00
,,,-0.29620000720,2.00000,0.00
,,,-0.29615998268,2.00000,0.00
,,,-0.29611998796,2.00000,0.00
,,,-0.29607999325,2.00000,0.00
,,,-0.29603999853,2.00000,0.00
,,,-0.29600000381,2.00000,0.00
,,,-0.29595997930,2.00000,0.00
,,,-0.29591998458,2.00000,0.00
,,,-0.29587998986,2.00000,0.00
,,,-0.29583999515,2.00000,0.00
,,,-0.29580000043,2.00000,0.00
,,,-0.29576000571,2.00000,0.00
,,,-0.29571998119,2.00000,0.00
,,,-0.29567998648,2.00000,0.00
,,,-0.29563999176,2.00000,0.00
,,,-0.29559999704,2.00000,0.00
,,,-0.29556000233,2.00000,0.00
,,,-0.29551997781,2.00000,0.00
,,,-0.29547998309,2.00000,0.00
,,,-0.29543998837,2.00000,0.00
,,,-0.29539999366,2.00000,0.00
,,,-0.29535999894,2.00000,0.00
,,,-0.29532000422,2.00000,0.00
,,,-0.29527997971,2.00000,0.00
,,,-0.29523998499,2.00000,0.00
,,,-0.29519999027,2.00000,0.00
,,,-0.29515999556,2.00000,0.00
,,,-0.29512000084,2.00000,0.00
,,,-0.29508000612,2.00000,0.00
,,,-0.29503998160,2.00000,0.00
,,,-0.29499998689,2.00000,0.00
,,,-0.29495999217,2.00000,0.00
,,,-0.29491999745,2.00000,0.00
,,,-0.29488000274,2.00000,0.00
,,,-0.29483997822,2.00000,0.00
,,,-0.29479998350,2.00000,0.00
,,,-0.29475998878,2.00000,0.00
,,,-0.29471999407,2.00000,0.00
,,,-0.29467999935,2.00000,0.00
,,,-0.29464000463,2.00000,0.00
,,,-0.29459998012,2.00000,0.00
,,,-0.29455998540,2.00000,0.00
,,,-0.29451999068,2.00000,0.00
,,,-0.29447999597,2.00000,0.00
,,,-0.29444000125,2.00000,0.00
,,,-0.29440000653,2.00000,0.00
,,,-0.29435998201,2.00000,0.00
,,,-0.29431998730,2.00000,0.00
,,,-0.29427999258,2.00000,0.00
,,,-0.29423999786,2.00000,0.00
,,,-0.29420000315,2.00000,0.00
,,,-0.29415997863,2.00000,0.00
,,,-0.29411998391,2.00000,0.00
,,,-0.29407998919,1.92000,0.00
,,,-0.29403999448,2.00000,0.00
,,,-0.29399999976,2.00000,0.00
,,,-0.29396000504,1.92000,0.00
,,,-0.29391998053,2.00000,0.00
,,,-0.29387998581,2.00000,0.00
,,,-0.29383999109,2.00000,0.00
,,,-0.29379999638,2.00000,0.00
,,,-0.29376000166,2.00000,0.00
,,,-0.29372000694,2.00000,0.00
,,,-0.29367998242,2.00000,0.00
,,,-0.29363998771,2.00000,0.00
,,,-0.29359999299,2.00000,0.00
,,,-0.29355999827,2.00000,0.00
,,,-0.29352000356,2.00000,0.00
,,,-0.29347997904,2.00000,0.00
,,,-0.29343998432,2.00000,0.00
,,,-0.29339998960,2.00000,0.00
,,,-0.29335999489,2.00000,0.00
,,,-0.29332000017,2.00000,0.00
,,,-0.29328000546,2.00000,0.00
,,,-0.29323998094,2.00000,0.00
,,,-0.29319998622,2.00000,0.00
,,,-0.29315999150,2.00000,0.00
,,,-0.29311999679,2.00000,0.00
,,,-0.29308000207,2.00000,0.00
,,,-0.29304000735,2.00000,0.00
,,,-0.29299998283,2.00000,0.00
,,,-0.29295998812,2.00000,0.00
,,,-0.29291999340,2.00000,0.00
,,,-0.29287999868,2.00000,0.00
,,,-0.29284000397,2.00000,0.00
,,,-0.29279997945,2.00000,0.00
,,,-0.29275998473,2.00000,0.00
,,,-0.29271999002,2.00000,0.00
,,,-0.29267999530,2.00000,0.00
,,,-0.29264000058,2.00000,0.00
,,,-0.29260000587,2.00000,0.00
,,,-0.29255998135,2.00000,0.00
,,,-0.29251998663,2.00000,0.00
,,,-0.29247999191,2.00000,0.00
,,,-0.29243999720,2.00000,0.00
,,,-0.29240000248,2.00000,0.00
,,,-0.29235997796,2.00000,0.00
,,,-0.29231998324,1.92000,0.00
,,,-0.29227998853,2.00000,0.00
,,,-0.29223999381,2.00000,0.00
,,,-0.29219999909,2.00000,0.00
,,,-0.29216000438,2.00000,0.00
,,,-0.29211997986,2.00000,0.00
,,,-0.29207998514,2.00000,0.00
,,,-0.29203999043,2.00000,0.00
,,,-0.29199999571,2.00000,0.00
,,,-0.29196000099,2.00000,0.00
,,,-0.29192000628,2.00000,0.00
,,,-0.29187998176,2.00000,0.00
,,,-0.29183998704,2.00000,0.00
,,,-0.29179999232,2.00000,0.00
,,,-0.29175999761,2.00000,0.00
,,,-0.29172000289,1.92000,0.00
,,,-0.29167997837,2.00000,0.00
,,,-0.29163998365,2.00000,0.00
,,,-0.29159998894,2.00000,0.00
,,,-0.29155999422,2.00000,0.00
,,,-0.29151999950,2.00000,0.00
,,,-0.29148000479,2.00000,0.00
,,,-0.29143998027,2.00000,0.00
,,,-0.29139998555,2.00000,0.00
