Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000040000000 CH2:0.0000040000000,,Second,Volt,Volt
,,,-0.03953199834,0.00,0.00
,,,-0.03952800110,0.00,0.00
,,,-0.03952400014,0.00,0.00
,,,-0.03951999918,0.00,0.00
,,,-0.03951599821,0.00,0.00
,,,-0.03951200098,-0.08000,0.00
,,,-0.03950800002,0.00,0.00
,,,-0.03950399905,0.00,0.00
,,,-0.03949999809,0.00,0.00
,,,-0.03949600086,0.00,0.00
,,,-0.03949199989,0.00,0.00
,,,-0.03948799893,0.00,0.00
,,,-0.03948400170,0.00,0.00
,,,-0.03948000073,0.00,0.08000
,,,-0.03947599977,0.00,0.00
,,,-0.03947199881,0.00,0.00
,,,-0.03946800157,0.00,0.00
,,,-0.03946400061,0.00,0.00
,,,-0.03945999965,-0.08000,0.00
,,,-0.03945599869,0.00,0.00
,,,-0.03945200145,0.00,0.00
,,,-0.03944800049,0.00,0.00
,,,-0.03944399953,0.00,0.00
,,,-0.03943999857,0.00,0.00
,,,-0.03943600133,0.00,0.00
,,,-0.03943200037,0.00,0.00
,,,-0.03942799941,-0.08000,0.00
,,,-0.03942399845,0.00,0.00
,,,-0.03942000121,0.00,0.00
,,,-0.03941600025,0.00,0.00
,,,-0.03941199929,0.00,0.00
,,,-0.03940799832,-0.08000,0.00
,,,-0.03940400109,0.00,0.00
,,,-0.03940000013,0.00,0.00
,,,-0.03939599916,0.00,0.00
,,,-0.03939199820,0.00,0.00
,,,-0.03938800097,0.00,0.00
,,,-0.03938400000,0.00,0.00
,,,-0.03937999904,-0.08000,0.00
,,,-0.03937599808,0.00,0.00
,,,-0.03937200084,0.00,0.00
,,,-0.03936799988,0.00,0.00
,,,-0.03936399892,0.00,0.00
,,,-0.03936000168,0.00,0.08000
,,,-0.03935600072,-0.08000,0.00
,,,-0.03935199976,0.00,-0.08000
,,,-0.03934799880,-0.08000,0.00
,,,-0.03934400156,0.00,0.00
,,,-0.03934000060,0.00,0.00
,,,-0.03933599964,0.00,0.00
,,,-0.03933199868,0.00,0.00
,,,-0.03932800144,0.00,0.00
,,,-0.03932400048,0.00,0.00
,,,-0.03931999952,0.00,0.00
,,,-0.03931599855,0.00,0.00
,,,-0.03931200132,0.00,0.00
,,,-0.03930800036,0.00,0.00
,,,-0.03930399939,0.00,0.00
,,,-0.03929999843,0.00,0.00
,,,-0.03929600120,-0.08000,0.00
,,,-0.03929200023,-0.08000,0.00
,,,-0.03928799927,-0.08000,0.00
,,,-0.03928399831,0.00,0.00
,,,-0.03928000107,0.00,0.00
,,,-0.03927600011,0.00,0.00
,,,-0.03927199915,0.00,0.00
,,,-0.03926799819,0.00,0.00
,,,-0.03926400095,0.00,0.00
,,,-0.03925999999,0.00,0.00
,,,-0.03925599903,0.00,0.00
,,,-0.03925199807,0.00,0.00
,,,-0.03924800083,-0.08000,0.00
,,,-0.03924399987,-0.08000,0.00
,,,-0.03923999891,0.00,0.00
,,,-0.03923600167,0.00,0.00
,,,-0.03923200071,0.00,0.00
,,,-0.03922799975,-0.08000,0.00
,,,-0.03922399879,0.00,0.00
,,,-0.03922000155,0.00,0.00
,,,-0.03921600059,0.00,0.00
,,,-0.03921199962,0.00,0.08000
,,,-0.03920799866,0.00,0.00
,,,-0.03920400143,0.00,0.00
,,,-0.03920000046,-0.08000,0.00
,,,-0.03919599950,-0.08000,0.00
,,,-0.03919199854,-0.08000,0.00
,,,-0.03918800130,0.00,0.00
,,,-0.03918400034,0.00,0.00
,,,-0.03917999938,0.00,0.00
,,,-0.03917599842,0.00,0.00
,,,-0.03917200118,0.00,0.00
,,,-0.03916800022,0.00,0.00
,,,-0.03916399926,0.00,0.00
,,,-0.03915999830,0.00,0.00
,,,-0.03915600106,0.00,0.00
,,,-0.03915200010,0.00,0.00
,,,-0.03914799914,0.00,0.00
,,,-0.03914399818,0.00,0.00
,,,-0.03914000094,0.00,0.00
,,,-0.03913599998,0.00,0.00
,,,-0.03913199902,-0.08000,-0.08000
,,,-0.03912799805,0.00,0.00
,,,-0.03912400082,0.00,0.00
,,,-0.03911999986,0.00,0.00
,,,-0.03911599889,0.00,0.00
,,,-0.03911200166,-0.08000,0.00
,,,-0.03910800070,0.00,0.08000
,,,-0.03910399973,0.00,0.00
,,,-0.03909999877,0.00,0.00
,,,-0.03909600154,0.00,0.00
,,,-0.03909200057,0.00,0.00
,,,-0.03908799961,0.00,0.00
,,,-0.03908399865,0.00,0.00
,,,-0.03908000141,0.00,0.00
,,,-0.03907600045,0.00,-0.08000
,,,-0.03907199949,-0.08000,0.00
,,,-0.03906799853,0.00,0.00
,,,-0.03906400129,0.00,0.08000
,,,-0.03906000033,-0.08000,0.00
